X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-5	0	-900	6.50411e-06	1.30369e-05	1.6865e-06
-4	0	-900	6.76283e-06	1.38872e-05	2.38382e-06
-3	0	-900	6.24676e-06	1.3714e-05	2.11761e-06
-2	0	-900	7.6951e-06	1.43987e-05	2.17022e-06
-1	0	-900	8.08567e-06	1.41184e-05	1.69116e-06
0	0	-900	8.97471e-06	1.3852e-05	2.91318e-06
1	0	-900	7.9141e-06	1.42144e-05	2.87303e-06
2	0	-900	6.62094e-06	1.43342e-05	8.40181e-07
3	0	-900	9.68172e-06	1.45348e-05	2.42773e-06
4	0	-900	8.42783e-06	1.39809e-05	1.70646e-06
5	0	-900	9.66689e-06	1.37639e-05	2.20633e-06
-5	0	-899.5	6.34892e-06	1.28965e-05	1.70242e-06
-4	0	-899.5	6.8195e-06	1.42706e-05	1.70977e-06
-3	0	-899.5	6.18251e-06	1.44577e-05	2.23989e-06
-2	0	-899.5	7.53228e-06	1.40007e-05	2.51956e-06
-1	0	-899.5	8.13152e-06	1.43405e-05	1.95562e-06
0	0	-899.5	9.34027e-06	1.38469e-05	3.594e-06
1	0	-899.5	8.1956e-06	1.36232e-05	2.5231e-06
2	0	-899.5	5.87228e-06	1.43491e-05	1.82265e-06
3	0	-899.5	9.40209e-06	1.40718e-05	2.73716e-06
4	0	-899.5	8.74947e-06	1.50526e-05	1.86614e-06
5	0	-899.5	9.80419e-06	1.39432e-05	2.99182e-06
-5	0	-899	6.49829e-06	1.31282e-05	1.55603e-06
-4	0	-899	6.33664e-06	1.41235e-05	2.46167e-06
-3	0	-899	6.22657e-06	1.47246e-05	2.20685e-06
-2	0	-899	7.73893e-06	1.40742e-05	1.62671e-06
-1	0	-899	7.58542e-06	1.48708e-05	2.02754e-06
0	0	-899	9.0861e-06	1.41517e-05	3.34752e-06
1	0	-899	8.06511e-06	1.37908e-05	2.27518e-06
2	0	-899	5.74003e-06	1.38977e-05	1.30435e-06
3	0	-899	9.72311e-06	1.39162e-05	1.97589e-06
4	0	-899	8.60038e-06	1.51343e-05	2.06111e-06
5	0	-899	9.65272e-06	1.36701e-05	2.22247e-06
-5	0	-898.5	6.30755e-06	1.33009e-05	1.34988e-06
-4	0	-898.5	6.61866e-06	1.39981e-05	2.51355e-06
-3	0	-898.5	5.95874e-06	1.42081e-05	2.5017e-06
-2	0	-898.5	7.18122e-06	1.43236e-05	2.69115e-06
-1	0	-898.5	7.67482e-06	1.4396e-05	1.67604e-06
0	0	-898.5	9.56129e-06	1.38224e-05	2.63817e-06
1	0	-898.5	8.12205e-06	1.40425e-05	2.19595e-06
2	0	-898.5	5.91186e-06	1.40822e-05	8.78106e-07
3	0	-898.5	1.0178e-05	1.40981e-05	2.01139e-06
4	0	-898.5	7.98877e-06	1.47237e-05	1.75747e-06
5	0	-898.5	9.63367e-06	1.44326e-05	2.4825e-06
-5	0	-898	6.67938e-06	1.3582e-05	1.54683e-06
-4	0	-898	6.62512e-06	1.36431e-05	2.33068e-06
-3	0	-898	5.99587e-06	1.52161e-05	1.73491e-06
-2	0	-898	7.40025e-06	1.41118e-05	1.75292e-06
-1	0	-898	8.0293e-06	1.45017e-05	1.29961e-06
0	0	-898	9.30176e-06	1.3697e-05	2.92318e-06
1	0	-898	7.44362e-06	1.34294e-05	1.85155e-06
2	0	-898	6.06073e-06	1.46858e-05	1.02007e-06
3	0	-898	1.05984e-05	1.41479e-05	2.22276e-06
4	0	-898	7.65281e-06	1.5243e-05	2.16031e-06
5	0	-898	9.65766e-06	1.40012e-05	2.9178e-06
-5	0	-897.5	6.7054e-06	1.34618e-05	1.92935e-06
-4	0	-897.5	6.10814e-06	1.4771e-05	1.88921e-06
-3	0	-897.5	6.32383e-06	1.43746e-05	1.43268e-06
-2	0	-897.5	8.04149e-06	1.42118e-05	1.69737e-06
-1	0	-897.5	8.2096e-06	1.43873e-05	1.9742e-06
0	0	-897.5	9.25295e-06	1.34537e-05	2.49088e-06
1	0	-897.5	8.54289e-06	1.37257e-05	1.59273e-06
2	0	-897.5	5.13048e-06	1.45153e-05	6.81567e-07
3	0	-897.5	9.81911e-06	1.38807e-05	2.13366e-06
4	0	-897.5	8.64965e-06	1.47825e-05	2.12767e-06
5	0	-897.5	9.38114e-06	1.40977e-05	2.7586e-06
-5	0	-897	6.35666e-06	1.30374e-05	2.1327e-06
-4	0	-897	6.62774e-06	1.49151e-05	3.03745e-06
-3	0	-897	6.15593e-06	1.43814e-05	1.61989e-06
-2	0	-897	7.56345e-06	1.41968e-05	2.21229e-06
-1	0	-897	7.8578e-06	1.4654e-05	1.9624e-06
0	0	-897	9.44478e-06	1.38057e-05	2.75728e-06
