X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-5	0	-900	2.64543e-05	1.41924e-05	-6.28248e-06
-4	0	-900	2.52538e-05	1.41019e-05	-7.19384e-06
-3	0	-900	2.64693e-05	1.30072e-05	-6.19053e-06
-2	0	-900	3.28351e-05	1.24548e-05	-4.08342e-06
-1	0	-900	3.153e-05	1.43836e-05	-5.14137e-06
0	0	-900	2.40153e-05	1.32495e-05	-7.20161e-06
1	0	-900	2.68984e-05	1.25213e-05	-5.53097e-06
2	0	-900	3.46122e-05	1.33769e-05	-3.90234e-06
3	0	-900	3.16941e-05	1.29234e-05	-5.1511e-06
4	0	-900	3.62766e-05	1.24551e-05	-3.65556e-06
5	0	-900	3.36842e-05	1.34392e-05	-4.30834e-06
-5	0	-899.5	2.61401e-05	1.4371e-05	-6.42864e-06
-4	0	-899.5	2.55968e-05	1.38178e-05	-6.63851e-06
-3	0	-899.5	2.67856e-05	1.3171e-05	-6.21533e-06
-2	0	-899.5	3.04215e-05	1.24105e-05	-5.08165e-06
-1	0	-899.5	3.1312e-05	1.37627e-05	-4.88123e-06
0	0	-899.5	2.4589e-05	1.264e-05	-6.77257e-06
1	0	-899.5	2.91066e-05	1.31922e-05	-5.03413e-06
2	0	-899.5	3.39387e-05	1.32449e-05	-4.13855e-06
3	0	-899.5	3.30461e-05	1.30665e-05	-4.73608e-06
4	0	-899.5	3.60153e-05	1.27422e-05	-3.71698e-06
5	0	-899.5	3.27926e-05	1.39455e-05	-4.88871e-06
-5	0	-899	2.58848e-05	1.49511e-05	-6.85617e-06
-4	0	-899	2.56921e-05	1.39466e-05	-6.63106e-06
-3	0	-899	2.74657e-05	1.34287e-05	-6.01938e-06
-2	0	-899	3.30822e-05	1.27272e-05	-4.13268e-06
-1	0	-899	3.05616e-05	1.36577e-05	-5.09698e-06
0	0	-899	2.56613e-05	1.31652e-05	-6.42981e-06
1	0	-899	2.77705e-05	1.31066e-05	-5.59794e-06
2	0	-899	3.22907e-05	1.38777e-05	-4.67732e-06
3	0	-899	3.42844e-05	1.3427e-05	-4.29746e-06
4	0	-899	3.44732e-05	1.26482e-05	-3.98254e-06
5	0	-899	3.49104e-05	1.3605e-05	-4.12778e-06
-5	0	-898.5	2.6425e-05	1.4532e-05	-6.3611e-06
-4	0	-898.5	2.56187e-05	1.33516e-05	-6.46591e-06
-3	0	-898.5	2.80604e-05	1.31853e-05	-5.58793e-06
-2	0	-898.5	3.21516e-05	1.25157e-05	-4.55855e-06
-1	0	-898.5	3.04704e-05	1.36018e-05	-4.99344e-06
0	0	-898.5	2.5768e-05	1.26874e-05	-6.50712e-06
1	0	-898.5	2.69291e-05	1.31568e-05	-5.93638e-06
2	0	-898.5	2.99852e-05	1.38914e-05	-5.54355e-06
3	0	-898.5	3.45523e-05	1.34648e-05	-4.25783e-06
4	0	-898.5	3.25512e-05	1.24781e-05	-4.44632e-06
5	0	-898.5	3.21896e-05	1.40183e-05	-4.92937e-06
-5	0	-898	2.54764e-05	1.41573e-05	-6.66716e-06
-4	0	-898	2.57818e-05	1.35515e-05	-6.15374e-06
-3	0	-898	2.77267e-05	1.32942e-05	-5.53845e-06
-2	0	-898	3.03373e-05	1.2346e-05	-5.05791e-06
-1	0	-898	2.95645e-05	1.36952e-05	-5.39748e-06
0	0	-898	2.42642e-05	1.23443e-05	-6.9223e-06
1	0	-898	2.70026e-05	1.262e-05	-5.56498e-06
2	0	-898	3.05976e-05	1.37777e-05	-5.35769e-06
3	0	-898	3.37047e-05	1.38101e-05	-4.65763e-06
4	0	-898	3.27729e-05	1.23987e-05	-4.3939e-06
5	0	-898	3.3254e-05	1.35027e-05	-4.70901e-06
-5	0	-897.5	2.53813e-05	1.41016e-05	-6.53661e-06
-4	0	-897.5	2.53506e-05	1.35452e-05	-6.51407e-06
-3	0	-897.5	2.80198e-05	1.35399e-05	-5.5799e-06
-2	0	-897.5	3.14465e-05	1.24866e-05	-4.82067e-06
-1	0	-897.5	2.95275e-05	1.3382e-05	-5.37692e-06
0	0	-897.5	2.43024e-05	1.24941e-05	-7.26019e-06
1	0	-897.5	2.68992e-05	1.2755e-05	-5.86702e-06
2	0	-897.5	3.26255e-05	1.34995e-05	-4.51575e-06
3	0	-897.5	3.33008e-05	1.37724e-05	-4.7806e-06
4	0	-897.5	3.30051e-05	1.27067e-05	-4.52945e-06
5	0	-897.5	3.19518e-05	1.32947e-05	-4.88536e-06
-5	0	-897	2.58855e-05	1.44206e-05	-6.60945e-06
-4	0	-897	2.5675e-05	1.3569e-05	-6.44833e-06
-3	0	-897	2.83532e-05	1.40349e-05	-5.65156e-06
-2	0	-897	3.07325e-05	1.23634e-05	-4.90558e-06
-1	0	-897	2.89937e-05	1.36689e-05	-5.94495e-06
0	0	-897	2.48125e-05	1.27287e-05	-6.60125e-06
1	0	-897	2.65541e-05	1.30158e-05	-6.00328e-06
2	0	-897	3.21315e-05	1.38747e-05	-4.73748e-06
3	0	-897	3.31354e-05	1.3163e-05	-4.61618e-06
4	0	-897	3.38176e-05	1.25601e-05	-4.4394e-06
5	0	-897	3.29583e-05	1.32624e-05	-4.40026e-06
-5	0	-896.5	2.52939e-05	1.45642e-05	-6.90253e-06
-4	0	-896.5	2.54184e-05	1.385e-05	-6.49233e-06
-3	0	-896.5	2.76743e-05	1.36572e-05	-5.84085e-06
-2	0	-896.5	2.9958e-05	1.2513e-05	-5.29661e-06
-1	0	-896.5	3.04446e-05	1.46801e-05	-5.62514e-06
0	0	-896.5	2.45694e-05	1.24327e-05	-7.02874e-06
1	0	-896.5	2.5835e-05	1.30593e-05	-6.15228e-06
2	0	-896.5	3.12552e-05	1.34057e-05	-4.94286e-06
3	0	-896.5	3.37764e-05	1.34532e-05	-4.47823e-06
4	0	-896.5	3.5232e-05	1.27154e-05	-3.93414e-06
5	0	-896.5	3.37083e-05	1.40509e-05	-4.53539e-06
-5	0	-896	2.55333e-05	1.45085e-05	-7.03716e-06
-4	0	-896	2.53094e-05	1.37527e-05	-6.61849e-06
-3	0	-896	2.78386e-05	1.32679e-05	-5.95194e-06
-2	0	-896	3.16121e-05	1.28876e-05	-4.71395e-06
-1	0	-896	2.94717e-05	1.36331e-05	-5.52587e-06
0	0	-896	2.62792e-05	1.2512e-05	-6.00945e-06
1	0	-896	2.7907e-05	1.35349e-05	-5.51438e-06
2	0	-896	3.03066e-05	1.35582e-05	-5.44964e-06
3	0	-896	3.31694e-05	1.34121e-05	-4.69904e-06
4	0	-896	3.27851e-05	1.27274e-05	-4.54375e-06
5	0	-896	3.20276e-05	1.40295e-05	-5.23841e-06
-5	0	-895.5	2.48716e-05	1.44114e-05	-7.23152e-06
-4	0	-895.5	2.58151e-05	1.36188e-05	-6.07834e-06
-3	0	-895.5	2.63131e-05	1.34284e-05	-6.47442e-06
-2	0	-895.5	3.05254e-05	1.28993e-05	-5.08664e-06
-1	0	-895.5	2.9653e-05	1.36367e-05	-5.44561e-06
0	0	-895.5	2.51898e-05	1.28425e-05	-6.60372e-06
1	0	-895.5	2.69144e-05	1.33521e-05	-5.72803e-06
2	0	-895.5	3.11757e-05	1.38952e-05	-5.06362e-06
3	0	-895.5	3.32894e-05	1.31015e-05	-4.33945e-06
4	0	-895.5	3.29185e-05	1.23172e-05	-4.66886e-06
5	0	-895.5	3.21684e-05	1.40938e-05	-5.12742e-06
-5	0	-895	2.35911e-05	1.40805e-05	-7.8493e-06
-4	0	-895	2.52821e-05	1.32229e-05	-6.733e-06
-3	0	-895	2.69067e-05	1.34779e-05	-5.97043e-06
-2	0	-895	3.10649e-05	1.25894e-05	-4.83697e-06
-1	0	-895	3.14199e-05	1.33301e-05	-4.92241e-06
0	0	-895	2.43671e-05	1.2649e-05	-7.1534e-06
1	0	-895	2.60691e-05	1.31559e-05	-6.33503e-06
2	0	-895	3.16621e-05	1.32914e-05	-4.99178e-06
3	0	-895	3.2675e-05	1.35612e-05	-4.69396e-06
4	0	-895	3.23407e-05	1.20474e-05	-4.37196e-06
5	0	-895	3.10278e-05	1.38595e-05	-5.14221e-06
-5	0	-894.5	2.38596e-05	1.40311e-05	-7.8526e-06
-4	0	-894.5	2.57347e-05	1.36832e-05	-6.73244e-06
-3	0	-894.5	2.70417e-05	1.3663e-05	-6.15887e-06
-2	0	-894.5	3.08905e-05	1.26301e-05	-5.1229e-06
-1	0	-894.5	2.99235e-05	1.33529e-05	-5.38712e-06
0	0	-894.5	2.50732e-05	1.32115e-05	-6.87862e-06
1	0	-894.5	2.63849e-05	1.2919e-05	-6.19195e-06
2	0	-894.5	2.9643e-05	1.29018e-05	-5.6219e-06
3	0	-894.5	3.26603e-05	1.37783e-05	-4.92038e-06
4	0	-894.5	3.35489e-05	1.25837e-05	-4.28438e-06
5	0	-894.5	3.08963e-05	1.38156e-05	-5.27629e-06
-5	0	-894	2.44938e-05	1.43005e-05	-7.55749e-06
-4	0	-894	2.5406e-05	1.34693e-05	-6.5656e-06
-3	0	-894	2.69468e-05	1.35604e-05	-6.12462e-06
-2	0	-894	3.07363e-05	1.27206e-05	-4.8683e-06
-1	0	-894	3.00745e-05	1.3499e-05	-5.2565e-06
0	0	-894	2.52495e-05	1.35723e-05	-6.81143e-06
1	0	-894	2.70956e-05	1.30828e-05	-6.13998e-06
2	0	-894	2.98414e-05	1.30427e-05	-5.69731e-06
3	0	-894	3.26671e-05	1.34704e-05	-4.93619e-06
4	0	-894	3.38609e-05	1.26973e-05	-4.09164e-06
