X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-5	0	-900	2.46151e-05	1.55792e-05	-7.49042e-06
-4	0	-900	2.75234e-05	1.54509e-05	-5.79023e-06
-3	0	-900	2.21111e-05	1.57515e-05	-8.45749e-06
-2	0	-900	2.15681e-05	1.50919e-05	-8.91192e-06
-1	0	-900	2.018e-05	1.54171e-05	-9.78224e-06
0	0	-900	1.98387e-05	1.52703e-05	-8.8954e-06
1	0	-900	1.75184e-05	1.57234e-05	-1.07327e-05
2	0	-900	1.8019e-05	1.52552e-05	-1.00941e-05
3	0	-900	1.69432e-05	1.50237e-05	-1.07539e-05
4	0	-900	1.92958e-05	1.48836e-05	-9.97635e-06
5	0	-900	1.67156e-05	1.63407e-05	-1.20193e-05
-5	0	-899.5	2.4808e-05	1.57726e-05	-8.0061e-06
-4	0	-899.5	2.72494e-05	1.56035e-05	-6.53211e-06
-3	0	-899.5	2.12443e-05	1.52678e-05	-8.92446e-06
-2	0	-899.5	2.0989e-05	1.51512e-05	-9.16414e-06
-1	0	-899.5	2.0009e-05	1.55517e-05	-9.60823e-06
0	0	-899.5	2.01873e-05	1.53235e-05	-9.26916e-06
1	0	-899.5	1.68777e-05	1.52897e-05	-1.11669e-05
2	0	-899.5	1.79175e-05	1.55716e-05	-1.03368e-05
3	0	-899.5	1.58203e-05	1.53518e-05	-1.13568e-05
4	0	-899.5	1.85697e-05	1.46607e-05	-1.0316e-05
5	0	-899.5	1.61121e-05	1.61995e-05	-1.26732e-05
-5	0	-899	2.51384e-05	1.52948e-05	-6.92191e-06
-4	0	-899	2.75054e-05	1.47944e-05	-6.31038e-06
-3	0	-899	2.10985e-05	1.48814e-05	-8.76322e-06
-2	0	-899	2.17182e-05	1.48579e-05	-9.23081e-06
-1	0	-899	2.03007e-05	1.5528e-05	-9.0487e-06
0	0	-899	1.9883e-05	1.52736e-05	-9.70701e-06
1	0	-899	1.62942e-05	1.59023e-05	-1.13111e-05
2	0	-899	1.79315e-05	1.53515e-05	-1.01933e-05
3	0	-899	1.59106e-05	1.4607e-05	-1.14672e-05
4	0	-899	1.85421e-05	1.49601e-05	-1.01153e-05
5	0	-899	1.628e-05	1.59371e-05	-1.18179e-05
-5	0	-898.5	2.5831e-05	1.55123e-05	-6.90163e-06
-4	0	-898.5	2.65853e-05	1.52108e-05	-6.52265e-06
-3	0	-898.5	2.11268e-05	1.52009e-05	-8.55706e-06
-2	0	-898.5	2.14707e-05	1.55903e-05	-9.11132e-06
-1	0	-898.5	2.01562e-05	1.58649e-05	-9.28843e-06
0	0	-898.5	1.96924e-05	1.50535e-05	-9.1052e-06
1	0	-898.5	1.70335e-05	1.57818e-05	-1.06517e-05
2	0	-898.5	1.76016e-05	1.52027e-05	-9.87065e-06
3	0	-898.5	1.5591e-05	1.47564e-05	-1.20459e-05
4	0	-898.5	1.84145e-05	1.4476e-05	-1.00825e-05
5	0	-898.5	1.56484e-05	1.50022e-05	-1.28852e-05
-5	0	-898	2.44116e-05	1.52274e-05	-7.70334e-06
-4	0	-898	2.61282e-05	1.52634e-05	-6.98869e-06
-3	0	-898	2.10656e-05	1.52615e-05	-8.76427e-06
-2	0	-898	2.06988e-05	1.52181e-05	-9.03241e-06
-1	0	-898	1.93547e-05	1.57651e-05	-9.88222e-06
0	0	-898	1.99618e-05	1.5036e-05	-9.39774e-06
1	0	-898	1.76175e-05	1.54451e-05	-1.10285e-05
2	0	-898	1.77526e-05	1.48278e-05	-1.03584e-05
3	0	-898	1.55207e-05	1.49264e-05	-1.16918e-05
4	0	-898	1.91174e-05	1.51532e-05	-1.02293e-05
5	0	-898	1.55318e-05	1.50204e-05	-1.19552e-05
-5	0	-897.5	2.4268e-05	1.51984e-05	-7.73305e-06
-4	0	-897.5	2.64339e-05	1.5471e-05	-6.97065e-06
-3	0	-897.5	2.08102e-05	1.52532e-05	-8.72228e-06
-2	0	-897.5	2.07843e-05	1.479e-05	-9.10643e-06
-1	0	-897.5	1.94206e-05	1.53199e-05	-9.35769e-06
0	0	-897.5	2.01892e-05	1.51888e-05	-9.35106e-06
1	0	-897.5	1.68365e-05	1.52491e-05	-1.08784e-05
2	0	-897.5	1.75759e-05	1.45405e-05	-1.04183e-05
3	0	-897.5	1.61758e-05	1.53486e-05	-1.16301e-05
4	0	-897.5	1.89705e-05	1.52117e-05	-1.03205e-05
5	0	-897.5	1.56013e-05	1.53335e-05	-1.23918e-05
-5	0	-897	2.5294e-05	1.54389e-05	-7.4412e-06
-4	0	-897	2.66683e-05	1.53338e-05	-6.77709e-06
-3	0	-897	2.1036e-05	1.57219e-05	-8.99014e-06
-2	0	-897	2.18989e-05	1.49282e-05	-8.54521e-06
-1	0	-897	1.98451e-05	1.59385e-05	-9.90998e-06
0	0	-897	2.04803e-05	1.50394e-05	-9.41861e-06
