X[mm]	Y[mm]	Z[mm]	Bx[T]	By[T]	Bz[T]
----------------------------------------------------------------------------------------------------------------------------------------------------------------
-5	0	-900	1.13188e-05	1.19823e-05	-1.12985e-05
-4	0	-900	1.20662e-05	1.10868e-05	-1.07715e-05
-3	0	-900	1.11406e-05	1.11068e-05	-9.95921e-06
-2	0	-900	1.24702e-05	1.1959e-05	-1.01385e-05
-1	0	-900	1.13977e-05	1.21425e-05	-1.20578e-05
0	0	-900	1.38446e-05	1.1157e-05	-9.29257e-06
1	0	-900	1.47299e-05	1.1924e-05	-9.33625e-06
2	0	-900	1.47669e-05	1.11955e-05	-9.80722e-06
3	0	-900	1.35525e-05	1.17486e-05	-1.02926e-05
4	0	-900	1.29854e-05	1.04105e-05	-1.03405e-05
5	0	-900	1.25876e-05	1.02345e-05	-1.03007e-05
-5	0	-899.5	1.22939e-05	1.24012e-05	-1.13853e-05
-4	0	-899.5	1.19933e-05	1.12943e-05	-1.06023e-05
-3	0	-899.5	1.11142e-05	1.17516e-05	-1.01794e-05
-2	0	-899.5	1.14909e-05	1.21372e-05	-1.0612e-05
-1	0	-899.5	1.12823e-05	1.15008e-05	-1.29204e-05
0	0	-899.5	1.41931e-05	1.14704e-05	-1.01607e-05
1	0	-899.5	1.38909e-05	1.21825e-05	-9.3681e-06
2	0	-899.5	1.46056e-05	1.11984e-05	-9.74125e-06
3	0	-899.5	1.35797e-05	1.16283e-05	-9.5567e-06
4	0	-899.5	1.21622e-05	1.05357e-05	-1.06423e-05
5	0	-899.5	1.30059e-05	1.03019e-05	-1.0815e-05
-5	0	-899	1.13177e-05	1.18995e-05	-1.17786e-05
-4	0	-899	1.21084e-05	1.17571e-05	-1.03312e-05
-3	0	-899	1.07091e-05	1.10565e-05	-1.07838e-05
-2	0	-899	1.21657e-05	1.20292e-05	-1.09593e-05
-1	0	-899	1.16139e-05	1.16072e-05	-1.24159e-05
0	0	-899	1.38289e-05	1.10603e-05	-1.00998e-05
1	0	-899	1.33483e-05	1.18892e-05	-1.00597e-05
2	0	-899	1.53291e-05	1.15649e-05	-9.74269e-06
3	0	-899	1.41916e-05	1.18453e-05	-1.01172e-05
4	0	-899	1.29264e-05	1.09957e-05	-1.02044e-05
5	0	-899	1.34157e-05	1.05745e-05	-1.0793e-05
-5	0	-898.5	1.11371e-05	1.22836e-05	-1.14548e-05
-4	0	-898.5	1.1656e-05	1.15841e-05	-1.0396e-05
-3	0	-898.5	1.15214e-05	1.11802e-05	-1.05415e-05
-2	0	-898.5	1.19642e-05	1.15991e-05	-1.02734e-05
-1	0	-898.5	1.19197e-05	1.18009e-05	-1.19582e-05
0	0	-898.5	1.45684e-05	1.10877e-05	-1.03825e-05
1	0	-898.5	1.362e-05	1.19622e-05	-9.85894e-06
2	0	-898.5	1.4587e-05	1.10311e-05	-9.59751e-06
3	0	-898.5	1.41288e-05	1.16318e-05	-1.02466e-05
4	0	-898.5	1.25915e-05	1.11072e-05	-1.05692e-05
5	0	-898.5	1.29644e-05	1.07963e-05	-1.11151e-05
-5	0	-898	1.11404e-05	1.24651e-05	-1.15689e-05
-4	0	-898	1.08928e-05	1.15663e-05	-1.04383e-05
-3	0	-898	1.228e-05	1.11539e-05	-1.01457e-05
-2	0	-898	1.19409e-05	1.1675e-05	-1.07671e-05
-1	0	-898	1.09944e-05	1.12374e-05	-1.22631e-05
0	0	-898	1.36135e-05	1.07791e-05	-9.99331e-06
1	0	-898	1.39584e-05	1.18865e-05	-9.50601e-06
2	0	-898	1.48252e-05	1.13919e-05	-1.01406e-05
3	0	-898	1.35042e-05	1.17107e-05	-1.02996e-05
4	0	-898	1.299e-05	1.0893e-05	-1.09648e-05
5	0	-898	1.22387e-05	1.10633e-05	-1.08221e-05
-5	0	-897.5	1.10353e-05	1.19752e-05	-1.21347e-05
-4	0	-897.5	1.15604e-05	1.18334e-05	-1.08067e-05
-3	0	-897.5	1.162e-05	1.12968e-05	-1.04451e-05
-2	0	-897.5	1.2536e-05	1.18913e-05	-1.0839e-05
-1	0	-897.5	1.10464e-05	1.15807e-05	-1.2217e-05
0	0	-897.5	1.45909e-05	1.14709e-05	-9.90415e-06
1	0	-897.5	1.29697e-05	1.17105e-05	-1.00917e-05
2	0	-897.5	1.53176e-05	1.15381e-05	-9.62626e-06
3	0	-897.5	1.35601e-05	1.16806e-05	-1.06725e-05
4	0	-897.5	1.30595e-05	1.08525e-05	-1.06765e-05
5	0	-897.5	1.31188e-05	1.08232e-05	-1.13823e-05
-5	0	-897	1.15703e-05	1.24682e-05	-1.19669e-05
-4	0	-897	1.16338e-05	1.14403e-05	-1.09872e-05
-3	0	-897	1.15853e-05	1.15522e-05	-9.87829e-06
-2	0	-897	1.24603e-05	1.18739e-05	-1.06035e-05
-1	0	-897	1.15203e-05	1.21286e-05	-1.21652e-05
0	0	-897	1.38914e-05	1.10423e-05	-1.0422e-05
1	0	-897	1.3057e-05	1.16897e-05	-9.97541e-06
2	0	-897	1.5088e-05	1.16759e-05	-1.00686e-05
3	0	-897	1.38236e-05	1.19414e-05	-1.05671e-05
4	0	-897	1.26706e-05	1.05651e-05	-1.08826e-05
5	0	-897	1.24162e-05	1.0234e-05	-1.09998e-05
-5	0	-896.5	1.14221e-05	1.23918e-05	-1.21144e-05
-4	0	-896.5	1.1669e-05	1.15926e-05	-1.09221e-05
-3	0	-896.5	1.10366e-05	1.14379e-05	-1.09755e-05
-2	0	-896.5	1.23923e-05	1.159e-05	-1.11698e-05
-1	0	-896.5	1.09468e-05	1.16324e-05	-1.23885e-05
0	0	-896.5	1.40958e-05	1.12858e-05	-1.00313e-05
1	0	-896.5	1.27871e-05	1.16515e-05	-9.83601e-06
2	0	-896.5	1.52695e-05	1.10689e-05	-1.03979e-05
3	0	-896.5	1.36378e-05	1.19004e-05	-1.08121e-05
4	0	-896.5	1.27499e-05	1.09786e-05	-1.102e-05
5	0	-896.5	1.2515e-05	1.05358e-05	-1.12104e-05
-5	0	-896	1.13135e-05	1.23885e-05	-1.17006e-05
-4	0	-896	1.18914e-05	1.11061e-05	-1.14944e-05
-3	0	-896	1.15125e-05	1.10627e-05	-1.10425e-05
-2	0	-896	1.20028e-05	1.16427e-05	-1.18207e-05
-1	0	-896	1.11434e-05	1.19233e-05	-1.25636e-05
0	0	-896	1.39791e-05	1.1702e-05	-1.0169e-05
1	0	-896	1.35232e-05	1.18334e-05	-1.04142e-05
2	0	-896	1.51099e-05	1.13861e-05	-9.98542e-06
3	0	-896	1.40157e-05	1.17281e-05	-1.02214e-05
4	0	-896	1.33643e-05	1.06674e-05	-1.07742e-05
5	0	-896	1.32562e-05	1.06826e-05	-1.05624e-05
-5	0	-895.5	1.14442e-05	1.25003e-05	-1.16485e-05
